Pair,ExpiryDate,OptionType,NetDelta,NetGamma,NetTheta,NetVega,Positions
AUDUSD,2026-10-30,Call,74500000,60300000,-7236000,43416000,1
AUDUSD,2027-03-26,Put,-62300000,37600000,-4512000,27072000,1
EURGBP,2027-01-29,Put,-71300000,42900000,5148000,30888000,1
EURUSD,2026-09-25,Call,185600000,121600000,-14592000,46944000,2
EURUSD,2026-11-20,Put,-118200000,71500000,-8580000,-51480000,1
EURUSD,2027-01-15,Call,96400000,52600000,6312000,37872000,1
GBPUSD,2026-09-18,Put,-156800000,119300000,-14316000,85896000,1
GBPUSD,2026-12-31,Call,89300000,49800000,5976000,35856000,1
USDCNH,2026-11-06,Call,137900000,88800000,-10656000,63936000,1
USDCNH,2027-02-26,Put,-105400000,55700000,-6684000,-40104000,1
USDJPY,2026-10-09,Call,164300000,101200000,-12144000,72864000,1
USDJPY,2026-12-11,Put,-132600000,84200000,-10104000,60624000,1
USDJPY,2027-06-18,Put,-68500000,31100000,-3732000,-22392000,1
USDZAR,2026-10-23,Put,-200032000,142042000,12557040,-75342240,2
USDZAR,2026-12-18,Call,112400000,68400000,-8208000,49248000,1
USDZAR,2027-03-19,Put,-82400000,47200000,-5664000,33984000,1
