Pair,ExpiryDate,OptionType,NetDelta,NetGamma,Positions
AUDUSD,2026-10-30,Call,74500,60300,1
AUDUSD,2027-03-26,Put,-62300,37600,1
EURGBP,2027-01-29,Put,-71300,42900,1
EURUSD,2026-09-25,Call,185600,121600,2
EURUSD,2026-11-20,Put,-118200,71500,1
EURUSD,2027-01-15,Call,96400,52600,1
GBPUSD,2026-09-18,Put,-156800,119300,1
GBPUSD,2026-12-31,Call,89300,49800,1
USDCNH,2026-11-06,Call,137900,88800,1
USDCNH,2027-02-26,Put,-105400,55700,1
USDJPY,2026-10-09,Call,164300,101200,1
USDJPY,2026-12-11,Put,-132600,84200,1
USDJPY,2027-06-18,Put,-68500,31100,1
USDZAR,2026-10-23,Put,-200032,142042,2
USDZAR,2026-12-18,Call,112400,68400,1
USDZAR,2027-03-19,Put,-82400,47200,1
