Pair,ExpiryDate,OptionType,NetDelta,Positions
AUDUSD,2026-10-30,Call,74500,1
AUDUSD,2027-03-26,Put,-62300,1
EURGBP,2027-01-29,Put,-71300,1
EURUSD,2026-09-25,Call,185600,2
EURUSD,2026-11-20,Put,-118200,1
EURUSD,2027-01-15,Call,96400,1
GBPUSD,2026-09-18,Put,-156800,1
GBPUSD,2026-12-31,Call,89300,1
USDCNH,2026-11-06,Call,137900,1
USDCNH,2027-02-26,Put,-105400,1
USDJPY,2026-10-09,Call,164300,1
USDJPY,2026-12-11,Put,-132600,1
USDJPY,2027-06-18,Put,-68500,1
USDZAR,2026-10-23,Put,-200032,2
USDZAR,2026-12-18,Call,112400,1
USDZAR,2027-03-19,Put,-82400,1
