Pair,ExpiryDate,OptionType,NetDelta,Positions,GrossNotional
AUDUSD,2026-10-30,Call,74500,1,90000000
AUDUSD,2027-03-26,Put,-62300,1,80000000
EURGBP,2027-01-29,Put,-71300,1,95000000
EURUSD,2026-09-25,Call,185600,2,250000000
EURUSD,2026-11-20,Put,-118200,1,160000000
EURUSD,2027-01-15,Call,96400,1,140000000
GBPUSD,2026-09-18,Put,-156800,1,175000000
GBPUSD,2026-12-31,Call,89300,1,125000000
USDCNH,2026-11-06,Call,137900,1,210000000
USDCNH,2027-02-26,Put,-105400,1,150000000
USDJPY,2026-10-09,Call,164300,1,220000000
USDJPY,2026-12-11,Put,-132600,1,190000000
USDJPY,2027-06-18,Put,-68500,1,100000000
USDZAR,2026-10-23,Put,-200032,2,290000000
USDZAR,2026-12-18,Call,112400,1,180000000
USDZAR,2027-03-19,Put,-82400,1,120000000
