Underlying,Shore,OptionType,Strike,ExpiryDate,Delta,Gamma,ThetaPortCCY,VegaPortCCY,Notional,NotionalCCY,PnL
USDZAR Curncy,Offshore,Put,16.35,2026-10-23,-177732000,123342000,14801040,-88806240,250000000,USD,123211
USDZAR Curncy,Offshore,Call,18.1,2026-12-18,112400000,68400000,-8208000,49248000,180000000,USD,-420000
USDZAR Curncy,Onshore,Put,16.8,2027-03-19,-82400000,47200000,-5664000,33984000,120000000,USD,310500
EURUSD Curncy,Offshore,Call,1.12,2026-09-25,145600000,93400000,-11208000,67248000,200000000,USD,780000
EURUSD Curncy,Offshore,Put,1.07,2026-11-20,-118200000,71500000,-8580000,-51480000,160000000,USD,-235000
EURUSD Curncy,Offshore,Call,1.15,2027-01-15,96400000,52600000,6312000,37872000,140000000,USD,445000
USDJPY Curncy,Offshore,Call,151.0,2026-10-09,164300000,101200000,-12144000,72864000,220000000,USD,-615000
USDJPY Curncy,Offshore,Put,142.0,2026-12-11,-132600000,84200000,-10104000,60624000,190000000,USD,525000
USDJPY Curncy,Onshore,Put,139.0,2027-06-18,-68500000,31100000,-3732000,-22392000,100000000,USD,184000
GBPUSD Curncy,Offshore,Put,1.28,2026-09-18,-156800000,119300000,-14316000,85896000,175000000,USD,290000
GBPUSD Curncy,Offshore,Call,1.36,2026-12-31,89300000,49800000,5976000,35856000,125000000,USD,-165000
USDCNH Curncy,Offshore,Call,7.35,2026-11-06,137900000,88800000,-10656000,63936000,210000000,USD,362000
USDCNH Curncy,Offshore,Put,7.05,2027-02-26,-105400000,55700000,-6684000,-40104000,150000000,USD,-338000
AUDUSD Curncy,Offshore,Call,0.69,2026-10-30,74500000,60300000,-7236000,43416000,90000000,USD,211000
AUDUSD Curncy,Offshore,Put,0.64,2027-03-26,-62300000,37600000,-4512000,27072000,80000000,USD,-97000
EURGBP Curncy,Offshore,Put,0.83,2027-01-29,-71300000,42900000,5148000,30888000,95000000,USD,156000
EURUSD Curncy,Offshore,Call,1.1,2026-09-25,40000000,28200000,-3384000,-20304000,50000000,USD,95000
USDZAR Curncy,Offshore,Put,16.6,2026-10-23,-22300000,18700000,-2244000,13464000,40000000,USD,-44000
