Underlying,Shore,OptionType,Strike,ExpiryDate,Delta,Gamma,Notional,NotionalCCY,PnL
USDZAR Curncy,Offshore,Put,16.35,2026-10-23,-177732,123342,250000000,USD,123211
USDZAR Curncy,Offshore,Call,18.1,2026-12-18,112400,68400,180000000,USD,-420000
USDZAR Curncy,Onshore,Put,16.8,2027-03-19,-82400,47200,120000000,USD,310500
EURUSD Curncy,Offshore,Call,1.12,2026-09-25,145600,93400,200000000,USD,780000
EURUSD Curncy,Offshore,Put,1.07,2026-11-20,-118200,71500,160000000,USD,-235000
EURUSD Curncy,Offshore,Call,1.15,2027-01-15,96400,52600,140000000,USD,445000
USDJPY Curncy,Offshore,Call,151.0,2026-10-09,164300,101200,220000000,USD,-615000
USDJPY Curncy,Offshore,Put,142.0,2026-12-11,-132600,84200,190000000,USD,525000
USDJPY Curncy,Onshore,Put,139.0,2027-06-18,-68500,31100,100000000,USD,184000
GBPUSD Curncy,Offshore,Put,1.28,2026-09-18,-156800,119300,175000000,USD,290000
GBPUSD Curncy,Offshore,Call,1.36,2026-12-31,89300,49800,125000000,USD,-165000
USDCNH Curncy,Offshore,Call,7.35,2026-11-06,137900,88800,210000000,USD,362000
USDCNH Curncy,Offshore,Put,7.05,2027-02-26,-105400,55700,150000000,USD,-338000
AUDUSD Curncy,Offshore,Call,0.69,2026-10-30,74500,60300,90000000,USD,211000
AUDUSD Curncy,Offshore,Put,0.64,2027-03-26,-62300,37600,80000000,USD,-97000
EURGBP Curncy,Offshore,Put,0.83,2027-01-29,-71300,42900,95000000,USD,156000
EURUSD Curncy,Offshore,Call,1.1,2026-09-25,40000,28200,50000000,USD,95000
USDZAR Curncy,Offshore,Put,16.6,2026-10-23,-22300,18700,40000000,USD,-44000
