2026-09-12,Global Macro,EUR,18000000,900000
2026-09-12,Global Macro,JPY,-12000000,760000
2026-09-12,Global Macro,AUD,9000000,510000
2026-09-12,Global Macro,AED,6000000,220000
2026-09-12,Global Macro,SAR,-3500000,180000
2026-09-12,Global Macro,HKD,2500000,140000
2026-09-12,Global Macro,CNY,68000000,1650000
2026-09-12,Global Macro,CNH,-57000000,1320000
2026-09-12,Global Macro,CNH/CNY,11000000,
2026-09-12,Global Macro,BRL,46000000,2150000
2026-09-12,Global Macro,BRF,-39000000,1780000
2026-09-12,Global Macro,BRL/BRF,7000000,
2026-09-12,EM Trading,MXN,-24000000,1350000
2026-09-12,EM Trading,ZAR,18000000,1100000
2026-09-12,EM Trading,INR,10000000,550000
2026-09-12,EM Trading,AED,4000000,160000
2026-09-12,EM Trading,SAR,2000000,130000
2026-09-12,EM Trading,HKD,-1500000,90000
2026-09-12,EM Trading,CNY,38000000,980000
2026-09-12,EM Trading,CNH,14000000,580000
2026-09-12,EM Trading,CNH/CNY,52000000,
2026-09-12,EM Trading,BRL,31000000,1420000
2026-09-12,EM Trading,BRF,7000000,770000
2026-09-12,EM Trading,BRL/BRF,38000000,
2026-09-15,Global Macro,EUR,24000000,1050000
2026-09-15,Global Macro,JPY,-15000000,820000
2026-09-15,Global Macro,GBP,13000000,690000
2026-09-15,Global Macro,AUD,8000000,480000
2026-09-15,Global Macro,AED,7000000,240000
2026-09-15,Global Macro,SAR,-4000000,190000
2026-09-15,Global Macro,HKD,3000000,150000
2026-09-15,Global Macro,CNY,75000000,1800000
2026-09-15,Global Macro,CNH,-62000000,1450000
2026-09-15,Global Macro,CNH/CNY,13000000,
2026-09-15,Global Macro,BRL,50000000,2400000
2026-09-15,Global Macro,BRF,-44000000,1950000
2026-09-15,Global Macro,BRL/BRF,6000000,
2026-09-15,EM Trading,MXN,-28000000,1480000
2026-09-15,EM Trading,ZAR,21000000,1230000
2026-09-15,EM Trading,INR,12000000,610000
2026-09-15,EM Trading,AED,5000000,180000
2026-09-15,EM Trading,SAR,2500000,140000
2026-09-15,EM Trading,HKD,-2000000,100000
2026-09-15,EM Trading,CNY,42000000,1100000
2026-09-15,EM Trading,CNH,18000000,650000
2026-09-15,EM Trading,CNH/CNY,60000000,
2026-09-15,EM Trading,BRL,35000000,1600000
2026-09-15,EM Trading,BRF,10000000,900000
2026-09-15,EM Trading,BRL/BRF,45000000,
